"TIME_PERIOD","Y3M","Y1Y","Y2Y","Y5Y","Y7Y","Y10Y","beta_0","beta_1","beta_2"
2006-08-01,2.85740734523207,3.33140196454654,3.53478249551241,3.73303191094084,3.84941810328874,3.9972627071732,3.98343247130327,-1.31044612905074,0.48646863641121
2006-09-01,2.99163435768741,3.4092971220248,3.52601297813023,3.63717108318954,3.73570171930219,3.87152026022955,3.81440047237702,-0.967562687972373,0.54323981918818
2006-10-01,3.11834402102017,3.49770919217823,3.54965375665088,3.5710563033562,3.63335617154945,3.73572003442641,3.63665927337743,-0.644916595685242,0.751797152192034
2006-11-01,3.18680856553363,3.52167540680114,3.54705108952828,3.57640053263091,3.63371702821509,3.71647758427641,3.6339324297869,-0.551729353920543,0.633597479016212
2006-12-01,3.30516502148091,3.60447704555983,3.62172543901736,3.59805282281243,3.62767364425007,3.68765895710878,3.58813264445896,-0.384581411615133,0.758787109793302
2007-01-01,3.40519326930028,3.65816731949507,3.69155947749066,3.67610333225434,3.69840829713157,3.74981362812333,3.67049094776188,-0.357764219193733,0.646364627984691
2007-02-01,3.50500362985349,3.79534028909852,3.86001236621146,3.8887201914982,3.92504762393061,3.98410309481889,3.92259079386795,-0.527896508895448,0.621943757343914
2007-03-01,3.57779509878988,3.83439846534678,3.87985323804864,3.90929901578564,3.95179408760216,4.01532692810964,3.95931821113752,-0.470774241248621,0.488705016308987
2007-04-01,3.66459198655428,3.85053046968817,3.85223107996118,3.8229254144542,3.85595794377563,3.92429963423975,3.84638681715825,-0.234670584204649,0.411688008339768
2007-05-01,3.75306903105131,3.98685765904302,4.03445707944658,4.03137574436691,4.0627265499048,4.12989779654626,4.06077568003385,-0.392808119396551,0.520296867663626
2007-06-01,3.82441199557949,4.10841879312588,4.17909218780644,4.17794568185525,4.19927241586177,4.25150024743979,4.17701103590885,-0.468696224605098,0.725823504302735
2007-07-01,3.89055381266669,4.23791740967599,4.37483240977338,4.4359979425984,4.46843325330492,4.52604366577474,4.47796348170231,-0.74272551345023,0.764462384593723
