Date,SVENY01,SVENY03,SVENY05,SVENY07,SVENY10,SVENY15
1976-05-01,5.8319190476190474,6.777923809523809,7.137985714285714,7.308838095238095,7.439519047619047,7.541495238095238
1976-06-01,6.352885,7.18836,7.452554999999999,7.57105,7.660349999999999,7.72983
1976-07-01,6.453286363636363,7.205727272727273,7.454318181818182,7.56680909090909,7.6516863636363635,7.7177
1976-08-01,6.200857142857142,7.044828571428571,7.369280952380952,7.524904761904762,7.644409523809524,7.737733333333334
1976-09-01,6.0083,6.848113636363636,7.229622727272727,7.428831818181819,7.587827272727273,7.713804545454545
1976-10-01,5.838480952380952,6.653952380952381,7.0632142857142854,7.290438095238095,7.4785714285714295,7.630528571428571
1976-11-01,5.54031,6.268784999999999,6.748139999999999,7.067690000000001,7.370665,7.64185
1976-12-01,5.348394736842105,6.098684210526316,6.584478947368422,6.9135947368421045,7.2370368421052635,7.5432578947368425
1977-01-01,4.949390909090909,5.687027272727272,6.178240909090909,6.513045454545455,6.840568181818182,7.146090909090909
1977-02-01,5.390871428571428,6.227133333333334,6.65735238095238,6.887776190476191,7.071190476190476,7.214928571428571
1977-03-01,5.5177,6.4197578947368426,6.849015789473685,7.076273684210526,7.257547368421053,7.400252631578948
1977-04-01,5.491843478260869,6.431939130434782,6.889439130434782,7.135321739130435,7.333852173913043,7.491760869565217
1977-05-01,5.368995,6.2963700000000005,6.775995,7.04851,7.278364999999999,7.46665
1977-06-01,5.753628571428571,6.489790476190476,6.906447619047619,7.157971428571428,7.379190476190476,7.565495238095239
1977-07-01,5.692172727272728,6.318536363636364,6.7200181818181814,6.986386363636364,7.239977272727272,7.468618181818181
1977-08-01,5.826099999999999,6.431515789473685,6.7989578947368425,7.032652631578947,7.247000000000001,7.433699999999999
1977-09-01,6.237717391304348,6.704834782608695,6.967291304347826,7.124786956521739,7.262573913043478,7.378039130434782
1977-10-01,6.401123809523809,6.740838095238096,6.958395238095237,7.102895238095238,7.240671428571429,7.365161904761904
1977-11-01,6.83104,7.081619999999999,7.221469999999999,7.308135,7.38775,7.45849
1977-12-01,6.818952631578948,7.101173684210527,7.260721052631578,7.35751052631579,7.443373684210527,7.516421052631579
1978-01-01,6.811252380952381,7.181547619047619,7.373366666666667,7.481514285714285,7.5716,7.6443
1978-02-01,7.14457,7.486230000000001,7.66074,7.75723,7.8367249999999995,7.900765
1978-03-01,7.169250000000001,7.543977777777777,7.7256222222222215,7.824622222222222,7.905805555555555,7.9710833333333335
1978-04-01,7.1374545454545455,7.564477272727273,7.737781818181818,7.823018181818182,7.889081818181818,7.940831818181818
1978-05-01,7.309310000000001,7.726875,7.857080000000001,7.915705,7.959975,7.994425
1978-06-01,7.634080952380952,7.953190476190476,8.023438095238095,8.053557142857143,8.076152380952381,8.093733333333333
1978-07-01,7.908177272727273,8.14374090909091,8.192927272727273,8.213972727272727,8.229759090909091,8.242018181818182
1978-08-01,8.21678,8.362995,8.38777,8.398340000000001,8.406270000000001,8.412435
1978-09-01,8.111126086956522,8.169139130434782,8.165504347826086,8.163730434782607,8.162421739130435,8.161382608695652
1978-10-01,8.415205,8.247365,8.20402,8.185375,8.171420000000001,8.16055
1978-11-01,8.847395238095238,8.491928571428572,8.406914285714285,8.370442857142857,8.343080952380953,8.3218
1978-12-01,9.69266,8.883705,8.63711,8.53064,8.450795,8.388675
1979-01-01,9.929035,9.160755,8.87351,8.74732,8.652595,8.578915
1979-02-01,10.11294090909091,9.309227272727272,8.987409090909091,8.845227272727273,8.738504545454544,8.655477272727273
1979-03-01,9.801511111111111,9.095844444444445,8.881250000000001,8.788555555555556,8.719027777777777,8.664938888888889
1979-04-01,9.813040909090908,9.168486363636363,8.946409090909091,8.849227272727273,8.776295454545455,8.719568181818182
1979-05-01,9.702615,9.203005000000001,9.0038,8.91315,8.84477,8.79156
1979-06-01,9.759609523809523,9.206342857142857,9.019390476190475,8.936933333333334,8.874990476190476,8.826804761904762
1979-07-01,9.188871428571428,8.761509523809524,8.663771428571428,8.621823809523809,8.590357142857144,8.565904761904763
1979-08-01,9.1577,8.7356,8.649119047619049,8.612052380952381,8.58425238095238,8.562638095238096
1979-09-01,9.536008695652175,8.938552173913044,8.801386956521739,8.742526086956522,8.698391304347826,8.664052173913044
1979-10-01,10.466589473684209,9.420731578947368,9.164352631578948,9.05437894736842,8.971894736842106,8.907747368421052
1979-11-01,11.79193181818182,10.588013636363636,10.18360909090909,9.991909090909092,9.84435,9.729136363636364
1979-12-01,11.832684210526315,10.803294736842105,10.424594736842105,10.270021052631579,10.178863157894737,10.129005263157895
1980-01-01,11.58164,10.29285,9.99494,9.956199999999999,9.992945,10.055724999999999
1980-02-01,11.660704545454546,10.568768181818182,10.312286363636362,10.324572727272727,10.439463636363637,10.566554545454546
1980-03-01,13.128368421052631,12.317726315789473,11.892794736842106,11.79681052631579,11.858747368421051,12.013568421052632
1980-04-01,15.13714761904762,13.345752380952382,12.383819047619047,11.992633333333334,11.92717619047619,12.249642857142858
1980-05-01,12.8871,11.320966666666667,10.941138095238095,10.905971428571428,11.01247619047619,11.198014285714285
1980-06-01,9.220828571428573,9.23677619047619,9.456199999999999,9.733252380952381,10.082938095238095,10.44154761904762
1980-07-01,8.14792857142857,8.790090476190477,9.05712380952381,9.258714285714285,9.582857142857144,10.187447619047619
1980-08-01,8.585227272727273,9.139581818181817,9.43605909090909,9.646204545454545,9.97884090909091,10.78214090909091
1980-09-01,9.969152380952382,10.411642857142857,10.486180952380952,10.573319047619048,10.79139523809524,11.236033333333333
1980-10-01,11.128142857142857,11.247661904761904,11.103004761904762,11.057814285714286,11.173661904761904,11.526538095238095
1980-11-01,11.915968181818181,11.532931818181819,11.357613636363636,11.327013636363636,11.413586363636364,11.639195454545455
1980-12-01,13.430764705882353,12.547717647058823,12.281488235294118,12.166611764705882,12.080988235294118,12.01445294117647
1981-01-01,14.204554545454545,12.866572727272727,12.461481818181818,12.267645454545454,12.11960909090909,12.004181818181818
1981-02-01,13.3566,12.24495238095238,12.06517619047619,11.982866666666666,11.916995238095238,11.864461904761905
