TIME_PERIOD,Y3M,Y6M,Y9M,Y1Y,Y2Y,Y3Y,Y4Y,Y5Y,Y6Y,Y7Y,Y8Y,Y10Y
2013-09-01,0.017643804416370833,0.02858958651931606,0.047866353053604094,0.07454632030776696,0.2392187297973262,0.46528402107153666,0.7212502752470984,0.9854689043422269,1.2435272754963353,1.4862774154980145,1.708352942657333,2.081551427578746
2013-10-01,0.020565162363810525,0.03487912908378323,0.05788792605691261,0.08859019682312573,0.27105662115624785,0.5155322388322023,0.788721125457448,1.0680525095824522,1.3387589609353197,1.591687180129119,1.8216664324561047,2.205077609337874
2013-11-01,0.03756898087415591,0.03899501821591097,0.049784328442115056,0.06893511059265398,0.21174974054771986,0.4264658788753145,0.6786752310574653,0.9445052522577825,1.207859535471452,1.458326181122174,1.6895998414897921,2.0830767583223473
2013-12-01,0.05670413723893331,0.03980187419916367,0.03420404921963253,0.03874990977495154,0.1381787965926311,0.3280199893134646,0.5681065581511701,0.830381379908605,1.0957351951959413,1.3516114689420664,1.5902000947035102,2.000218974980322
2014-01-01,0.11860147279976566,0.10541430027201282,0.10415488849687655,0.11350215866612237,0.23423143854215828,0.44447852857459613,0.7007827654970402,0.9737758483187384,1.244232937858584,1.5001510316088562,1.734598877484275,2.1277142227938346
2014-02-01,0.11166838344541109,0.09419319730676726,0.08927520777836145,0.0955099826346986,0.20788619833047894,0.41389969274108007,0.6679376889066784,0.9394210010532604,1.2085098266997794,1.4629490648308974,1.6957638189200863,2.0854560521312595
2014-03-01,0.11939934101442566,0.08754043394388339,0.06873179828648543,0.06161299694771172,0.12650312748629813,0.2950152813637701,0.5212084879278078,0.7734545327471142,1.0305464242294708,1.278791953212026,1.5098535536240933,1.9046941552267682
2014-04-01,0.16918483531573175,0.13964899027815036,0.1217509819383217,0.11433364061981671,0.16930288562810167,0.3200403741554747,0.5261223789878896,0.7591125616339521,0.9994622227310505,1.2341565508885888,1.4549349525234772,1.837776018073986
2014-05-01,0.15001005262353337,0.1279268043093786,0.11580132683170097,0.1126830963839804,0.1735920827465391,0.3187381261509367,0.5137952270512953,0.7341171357877323,0.9623671504392874,1.1866872243326303,1.3992889392734245,1.7723096686230881
2014-06-01,0.12243042970774708,0.09210886212108783,0.07209061186033139,0.06142643171931983,0.09558850408193151,0.21926398878917933,0.3976581985677762,0.6055390655967395,0.8249449892636936,1.0434039908376354,1.2525549557321858,1.6239104432792
2014-07-01,0.05855969719931794,0.028199620675151683,0.0077475588020301705,-0.0036792584168320952,0.025249642594422424,0.1422145959162461,0.3142370436224728,0.5171122644207153,0.7333705724844292,0.9506798005431187,1.1605975402334379,1.5383297752619918
2014-08-01,0.045886313097332695,0.015693004509964453,-0.0056097768036448255,-0.018781489400980556,-0.0036570873089173477,0.09264584836921404,0.24113576598251543,0.42024373477392923,0.6141606619019345,0.8115215684769268,1.004367519882766,1.356987854489043
2014-09-01,0.025820343884052976,-0.001976706556862295,-0.02197260273170152,-0.03481883996854892,-0.026317899947809725,0.054413313718310166,0.18221162408333594,0.33822033330595563,0.5085057865714963,0.6829566461452788,0.8544105408730284,1.1704244150479395
2014-10-01,-0.02240191059613151,-0.05172475236926802,-0.07316451825970499,-0.08736639059623665,-0.0833185639700315,-0.0053885400236027775,0.12125514017101856,0.27763447167342914,0.44962794486057495,0.6269044427989291,0.8020735156744991,1.127319773528667
2014-11-01,-0.02305078688943344,-0.04872944151057758,-0.06761049968654595,-0.08023357201565197,-0.07781950899057936,-0.010576770569840948,0.10009690144856481,0.2379053875335795,0.39058890862000045,0.5490659659591836,0.7067439007583475,1.0025725008211577
2014-12-01,-0.02007351649531895,-0.043698242772435426,-0.06135433667221386,-0.07349406923693676,-0.07503795387005639,-0.018177525205102386,0.07874576344995723,0.20157040953217584,0.33947953050443136,0.48432111788462445,0.6300561191840843,0.9080186619923319
2015-01-01,-0.017384082226214976,-0.03927433429772468,-0.056065061932615165,-0.0681285002417369,-0.0758419882206259,-0.032666843690293115,0.04603867175056133,0.14829258325575012,0.264838346983607,0.3886108710316976,0.5142993222327205,0.756875222801043
2015-02-01,-0.07411181061549235,-0.11047126018426956,-0.12561769744426807,-0.13184064718364752,-0.1334034886451909,-0.10980959469841362,-0.055661727728273394,0.022930768985626262,0.11654391556118467,0.21716412967846185,0.31900941624902107,0.5124442800822289
